Description1,Description2,Correlation
GREEN 3 PIECE MINI DOTS CUTLERY SET,RED 3 PIECE MINI DOTS CUTLERY SET,0.7295918367346939
GROW YOUR OWN FLOWERS SET OF 3,GROW YOUR OWN HERBS SET OF 3,0.7294117647058824
SET/6 TURQUOISE BUTTERFLY T-LIGHTS,SET/6 PINK  BUTTERFLY T-LIGHTS,0.727699530516432
POPPY'S PLAYHOUSE BEDROOM ,POPPY'S PLAYHOUSE LIVINGROOM ,0.7272727272727273
PACK OF 6 SKULL PAPER PLATES,PACK OF 20 SKULL PAPER NAPKINS,0.726775956284153
ROSES REGENCY TEACUP AND SAUCER ,GREEN REGENCY TEACUP AND SAUCER,0.725
CHILDS GARDEN RAKE PINK,CHILDS GARDEN BRUSH PINK,0.7246376811594203
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,0.7230290456431535
PINK FELT EASTER EGG BASKET,BLUE FELT EASTER EGG BASKET,0.722972972972973
CHRISTMAS GINGHAM TREE,CHRISTMAS GINGHAM HEART,0.7228915662650602
FRENCH KITCHEN SIGN BLUE METAL,FRENCH BATHROOM SIGN BLUE METAL,0.7227722772277229
CHILDS GARDEN BRUSH BLUE,CHILDS GARDEN BRUSH PINK,0.7205882352941176
BLUE  SPOTTY PLATE ,BLUE  SPOTTY CUP,0.7200000000000001
PINK  SPOTTY CUP,BLUE  SPOTTY CUP,0.7188755020080322
CHILDRENS GARDEN GLOVES BLUE,CHILDS GARDEN TROWEL BLUE ,0.7187499999999999
LARGE POPCORN HOLDER ,SMALL POPCORN HOLDER,0.7182320441988951
CAT BOWL ,"DOG BOWL , CHASING BALL DESIGN",0.7173913043478262
DISCO BALL ROTATOR BATTERY OPERATED,MIRRORED DISCO BALL ,0.7168141592920353
RETRO SPOT SUGAR JAM BOWL,RETRO SPOT SMALL MILK JUG,0.7153846153846155
POPPY'S PLAYHOUSE LIVINGROOM ,POPPY'S PLAYHOUSE BATHROOM,0.714975845410628
FELTCRAFT PRINCESS OLIVIA DOLL,FELTCRAFT PRINCESS LOLA DOLL,0.7134502923976608
POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE LIVINGROOM ,0.713235294117647
BLUE  SPOTTY CUP,PINK  SPOTTY CUP,0.7131474103585658
"KEY FOB , FRONT  DOOR ","KEY FOB , SHED",0.7130801687763714
RED SPOTTY PLATE ,RED SPOTTY CUP,0.7129186602870813
CANDLEHOLDER PINK HANGING HEART,WHITE HANGING HEART T-LIGHT HOLDER,0.7127659574468086
CHILDRENS GARDEN GLOVES PINK,CHILDS GARDEN TROWEL PINK,0.712707182320442
GREEN SPOTTY CUP,PINK  SPOTTY CUP,0.7126436781609196
EDWARDIAN PARASOL RED,EDWARDIAN PARASOL BLACK,0.712574850299401
GREEN 3 PIECE POLKADOT CUTLERY SET,PINK 3 PIECE POLKADOT CUTLERY SET,0.7111111111111111
RED RETROSPOT SUGAR JAM BOWL,RED RETROSPOT SMALL MILK JUG,0.7104247104247104
EDWARDIAN PARASOL PINK,EDWARDIAN PARASOL NATURAL,0.7085714285714286
CHILDRENS GARDEN GLOVES BLUE,CHILDS GARDEN TROWEL PINK,0.7062499999999999
SMALL RED BABUSHKA NOTEBOOK ,SMALL PURPLE BABUSHKA NOTEBOOK ,0.7062146892655368
CHILDS GARDEN TROWEL PINK,CHILDS GARDEN FORK BLUE ,0.705607476635514
CHOC TRUFFLE GOLD TRINKET POT ,STRAWBERRY CERAMIC TRINKET BOX,0.7054263565891473
SET OF 6 T-LIGHTS SNOWMEN,SET OF 6 T-LIGHTS SANTA,0.7051282051282052
ROCKING HORSE GREEN CHRISTMAS ,ROCKING HORSE RED CHRISTMAS ,0.7050359712230216
GREEN SPOTTY BOWL,BLUE SPOTTY BOWL,0.7039473684210528
"LARGE CAKE TOWEL, CHOCOLATE SPOTS",LARGE CAKE TOWEL PINK SPOTS,0.7032967032967034
RED/CREAM STRIPE CUSHION COVER ,BLUE/CREAM STRIPE CUSHION COVER ,0.7027027027027027
ALARM CLOCK BAKELIKE ORANGE,ALARM CLOCK BAKELIKE RED ,0.7000000000000001
DINOSAUR LUNCH BOX WITH CUTLERY,STRAWBERRY LUNCH BOX WITH CUTLERY,0.7000000000000001
"KEY FOB , GARAGE DESIGN","KEY FOB , BACK DOOR ",0.697986577181208
STAR WOODEN CHRISTMAS DECORATION,HEART WOODEN CHRISTMAS DECORATION,0.6971830985915493
FRENCH LAUNDRY SIGN BLUE METAL,FRENCH BATHROOM SIGN BLUE METAL,0.6966292134831461
CHILDS BREAKFAST SET SPACEBOY ,CHILDS BREAKFAST SET DOLLY GIRL ,0.6965811965811965
FELTCRAFT PRINCESS OLIVIA DOLL,FELTCRAFT PRINCESS CHARLOTTE DOLL,0.6959064327485379
PINK/BROWN DOTS RUFFLED UMBRELLA,RED/WHITE DOTS RUFFLED UMBRELLA,0.6951219512195121
"METAL SIGN,CUPCAKE SINGLE HOOK",METAL SIGN CUPCAKE SINGLE HOOK,0.6951219512195121
GREEN 3 PIECE MINI DOTS CUTLERY SET,PINK 3 PIECE MINI DOTS CUTLERY SET,0.6938775510204082
PACK OF 6 SKULL PAPER CUPS,PACK OF 20 SKULL PAPER NAPKINS,0.6936416184971098
CHILDS GARDEN SPADE BLUE,CHILDS GARDEN SPADE PINK,0.6902654867256637
FELTCRAFT CUSHION RABBIT,FELTCRAFT CUSHION BUTTERFLY,0.6890080428954423
ORANGE SCENTED SET/9 T-LIGHTS,CINAMMON SET OF 9 T-LIGHTS,0.6879432624113475
SMALL YELLOW BABUSHKA NOTEBOOK ,SMALL RED BABUSHKA NOTEBOOK ,0.6878980891719745
PINK  SPOTTY PLATE ,PINK  SPOTTY CUP,0.6878612716763006
CHILDS GARDEN RAKE BLUE,CHILDS GARDEN TROWEL BLUE ,0.6867469879518071
SET OF 6 T-LIGHTS SANTA,SET OF 6 T-LIGHTS SNOWMEN,0.6832298136645963
SET/10 PINK SPOTTY PARTY CANDLES,SET/10 BLUE SPOTTY PARTY CANDLES,0.6829268292682926
WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE ,0.6821026282853567
PINK 3 PIECE POLKADOT CUTLERY SET,BLUE 3 PIECE POLKADOT CUTLERY SET,0.6818181818181818
BLUE PARTY BAGS ,PINK PARTY BAGS,0.6802721088435374
BLUE  SPOTTY PLATE ,PINK  SPOTTY PLATE ,0.68
SET OF 4 ENGLISH ROSE PLACEMATS,SET OF 4 ENGLISH ROSE COASTERS,0.6796116504854369
BLUE PADDED SOFT MOBILE,PINK PADDED MOBILE,0.6791044776119403
PINK 3 PIECE MINI DOTS CUTLERY SET,BLUE 3 PIECE MINI DOTS CUTLERY SET,0.6782841823056299
SET/6 RED SPOTTY PAPER PLATES,SET/6 RED SPOTTY PAPER CUPS,0.6778115501519757
GREEN 3 PIECE POLKADOT CUTLERY SET,BLUE 3 PIECE POLKADOT CUTLERY SET,0.6777777777777777
SMALL YELLOW BABUSHKA NOTEBOOK ,SMALL PURPLE BABUSHKA NOTEBOOK ,0.6751592356687899
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED ,0.6749999999999999
RED STRIPE CERAMIC DRAWER KNOB,BLUE STRIPE CERAMIC DRAWER KNOB,0.6744186046511629
PAINTED METAL STAR WITH HOLLY BELLS,PAINTED METAL HEART WITH HOLLY BELL,0.6744186046511628
BLUE 3 PIECE MINI DOTS CUTLERY SET,RED 3 PIECE MINI DOTS CUTLERY SET,0.673469387755102
ALARM CLOCK BAKELIKE CHOCOLATE,ALARM CLOCK BAKELIKE GREEN,0.6732673267326733
DOCTOR'S BAG SOFT TOY,NURSE'S BAG SOFT TOY,0.6730769230769232
MINI JIGSAW DOLLY GIRL,MINI JIGSAW SPACEBOY,0.6710526315789472
"KEY FOB , FRONT  DOOR ","KEY FOB , GARAGE DESIGN",0.6708860759493671
VINTAGE SEASIDE JIGSAW PUZZLES,VINTAGE SNAKES & LADDERS,0.67
CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,0.6699029126213593
PINK FELT EASTER EGG BASKET,CREAM FELT EASTER EGG BASKET,0.668918918918919
CHILDRENS GARDEN GLOVES BLUE,CHILDS GARDEN FORK BLUE ,0.66875
S/4 PINK FLOWER CANDLES IN BOWL,SET/4 BLUE FLOWER CANDLES IN BOWL,0.6685714285714286
COFFEE MUG BLUE PAISLEY DESIGN,COFFEE MUG PINK PAISLEY DESIGN,0.6666666666666669
BLUE TEA TOWEL CLASSIC DESIGN,RED TEA TOWEL CLASSIC DESIGN,0.6666666666666667
LARGE YELLOW BABUSHKA NOTEBOOK ,LARGE PURPLE BABUSHKA NOTEBOOK  ,0.6666666666666665
GREEN SPOTTY BOWL,PINK SPOTTY BOWL,0.6644736842105264
GREEN  SPOTTY PLATE ,PINK  SPOTTY PLATE ,0.6636363636363636
BLUE HAPPY BIRTHDAY BUNTING,PINK HAPPY BIRTHDAY BUNTING,0.6629629629629631
CHILDS GARDEN RAKE BLUE,CHILDS GARDEN BRUSH BLUE,0.6626506024096386
ALARM CLOCK BAKELIKE IVORY,ALARM CLOCK BAKELIKE GREEN,0.6625766871165645
WHITE CHRISTMAS TREE DECORATION ,WHITE CHRISTMAS HEART DECORATION,0.6625
PACK OF 12 COLOURED PENCILS,PACK OF 12 TRADITIONAL CRAYONS,0.6624999999999999
BLACK KITCHEN SCALES,IVORY KITCHEN SCALES,0.6615384615384616
WHITE CHRISTMAS HEART DECORATION,WHITE CHRISTMAS STAR DECORATION,0.6599999999999999
KITCHEN METAL SIGN,TOILET METAL SIGN,0.657142857142857
ALARM CLOCK BAKELIKE RED ,ALARM CLOCK BAKELIKE GREEN,0.6562500000000001
BALLOONS  WRITING SET ,DINOSAURS  WRITING SET ,0.6559139784946237
12 PENCILS SMALL TUBE RED RETROSPOT,12 PENCILS SMALL TUBE SKULL,0.6547619047619047
PINK  SPOTTY CUP,RED SPOTTY CUP,0.6546184738955825
"KEY FOB , SHED","KEY FOB , BACK DOOR ",0.6517150395778364
WOOD STOCKING CHRISTMAS SCANDISPOT,WOODEN TREE CHRISTMAS SCANDINAVIAN,0.650887573964497
CHILDS GARDEN RAKE BLUE,CHILDS GARDEN SPADE PINK,0.6506024096385542
CHILDS GARDEN RAKE BLUE,CHILDS GARDEN RAKE PINK,0.6506024096385542
CHRISTMAS GINGHAM TREE,CHRISTMAS GINGHAM STAR,0.6506024096385541
PACK OF 6 SWEETIE GIFT BOXES,PACK OF 6 PANNETONE GIFT BOXES,0.6503067484662578
FELTCRAFT PRINCESS CHARLOTTE DOLL,FELTCRAFT PRINCESS LOLA DOLL,0.6493506493506492
WAY OUT METAL SIGN ,GARDEN METAL SIGN ,0.6477272727272727
RED 3 PIECE MINI DOTS CUTLERY SET,BLUE 3 PIECE MINI DOTS CUTLERY SET,0.6470588235294119
BLUE  SPOTTY PLATE ,BLUE SPOTTY BOWL,0.6466666666666666
FELTCRAFT CUSHION OWL,FELTCRAFT CUSHION BUTTERFLY,0.6461126005361929
BLUE  SPOTTY CUP,RED SPOTTY CUP,0.6454183266932271
BLUE 3 PIECE MINI DOTS CUTLERY SET,PINK 3 PIECE MINI DOTS CUTLERY SET,0.645408163265306
CHARLIE+LOLA PINK HOT WATER BOTTLE,CHARLIE + LOLA RED HOT WATER BOTTLE,0.6448979591836734
BLACK/BLUE POLKADOT UMBRELLA,RED RETROSPOT UMBRELLA,0.6448598130841121
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED ,0.6432748538011696
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.642570281124498
CHILDS BREAKFAST SET DOLLY GIRL ,CHILDS BREAKFAST SET SPACEBOY ,0.6417322834645669
LARGE YELLOW BABUSHKA NOTEBOOK ,LARGE RED BABUSHKA NOTEBOOK ,0.6410256410256409
CHILDRENS GARDEN GLOVES PINK,CHILDS GARDEN FORK PINK,0.6408839779005525
BLUE SPOTTY BOWL,PINK SPOTTY BOWL,0.6405529953917051
BLUE  SPOTTY PLATE ,RED SPOTTY PLATE ,0.64
SET OF 2 ROUND TINS DUTCH CHEESE,SET OF 2 ROUND TINS CAMEMBERT ,0.6391752577319588
CHILDS GARDEN RAKE BLUE,CHILDS GARDEN FORK BLUE ,0.6385542168674698
CHILDS GARDEN RAKE BLUE,CHILDS GARDEN TROWEL PINK,0.6385542168674698
JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,0.6382978723404256
FELTCRAFT PRINCESS LOLA DOLL,FELTCRAFT PRINCESS CHARLOTTE DOLL,0.6382978723404256
RIBBON REEL FLORA + FAUNA ,RIBBON REEL STRIPES DESIGN ,0.6371681415929202
GREEN  SPOTTY PLATE ,GREEN SPOTTY BOWL,0.6363636363636364
BLUE SPOTTY BOWL,RED SPOTTY BOWL,0.6359447004608295
BLUE PAPER PARASOL ,PINK PAPER PARASOL ,0.6354166666666669
HEART WOODEN CHRISTMAS DECORATION,STAR WOODEN CHRISTMAS DECORATION,0.6346153846153846
WOOD STOCKING CHRISTMAS SCANDISPOT,WOODEN STAR CHRISTMAS SCANDINAVIAN,0.6331360946745561
FELTCRAFT CUSHION BUTTERFLY,FELTCRAFT CUSHION RABBIT,0.6330049261083743
BLUE STRIPE CERAMIC DRAWER KNOB,RED STRIPE CERAMIC DRAWER KNOB,0.6327272727272726
GREEN 3 PIECE MINI DOTS CUTLERY SET,BLUE 3 PIECE MINI DOTS CUTLERY SET,0.6326530612244898
WATERING CAN GREEN DINOSAUR,WATERING CAN BLUE ELEPHANT,0.6326530612244898
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN,0.632034632034632
RETRO BLUE SPOTTY WASHING UP GLOVES,RETRO RED SPOTTY WASHING UP GLOVES,0.6306306306306307
BLACK/BLUE DOTS RUFFLED UMBRELLA,RED/WHITE DOTS RUFFLED UMBRELLA,0.630597014925373
CHILDRENS GARDEN GLOVES PINK,CHILDS GARDEN TROWEL BLUE ,0.6298342541436465
STRIPEY CHOCOLATE NESTING BOXES,PINK SPOTS CHOCOLATE NESTING BOXES ,0.6292134831460675
MAGIC DRAWING SLATE DOLLY GIRL ,MAGIC DRAWING SLATE SPACEBOY ,0.6285714285714287
CHARLOTTE BAG PINK WITH WHITE SPOTS,RED SPOTTY CHARLOTTE BAG,0.6284403669724772
SMALL PURPLE BABUSHKA NOTEBOOK ,SMALL RED BABUSHKA NOTEBOOK ,0.628140703517588
"KEY FOB , SHED","KEY FOB , GARAGE DESIGN",0.6279683377308707
CHRISTMAS GINGHAM STAR,CHRISTMAS GINGHAM TREE,0.6279069767441862
GREEN  SPOTTY PLATE ,BLUE  SPOTTY PLATE ,0.6272727272727272
PINK REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,0.627027027027027
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX ,0.6268221574344023
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE GREEN,0.6257309941520467
SET/4 BLUE FLOWER CANDLES IN BOWL,S/4 PINK FLOWER CANDLES IN BOWL,0.6256684491978609
BLUE PAPER PARASOL ,RED PAPER PARASOL,0.6250000000000001
CHILDRENS GARDEN GLOVES BLUE,CHILDS GARDEN FORK PINK,0.625
FELTCRAFT CUSHION RABBIT,FELTCRAFT CUSHION OWL,0.6246648793565683
FELTCRAFT CUSHION OWL,FELTCRAFT CUSHION RABBIT,0.6246648793565683
FELTCRAFT DOLL MARIA,FELTCRAFT DOLL ROSIE,0.6244541484716157
PINK  SPOTTY PLATE ,RED SPOTTY PLATE ,0.6242774566473989
CHILDS GARDEN FORK PINK,CHILDRENS GARDEN GLOVES PINK,0.6236559139784947
GLITTER CHRISTMAS HEART ,GLITTER CHRISTMAS STAR ,0.6228070175438597
GLITTER CHRISTMAS STAR ,GLITTER CHRISTMAS HEART ,0.6228070175438597
RING OF ROSES BIRTHDAY CARD,TEA PARTY BIRTHDAY CARD,0.6224489795918366
WOODLAND WATER TRANSFER TATTOOS ,SKULLS  WATER TRANSFER TATTOOS ,0.6216216216216217
WOODEN TREE CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN,0.6216216216216215
SPACEBOY LUNCH BOX ,DOLLY GIRL LUNCH BOX,0.6213872832369941
MOODY BOY  DOOR HANGER ,MOODY GIRL DOOR HANGER ,0.6213592233009709
HAPPY STENCIL CRAFT,MONSTERS STENCIL CRAFT,0.6200873362445415
"KEY FOB , BACK DOOR ","KEY FOB , GARAGE DESIGN",0.6190476190476191
PINK DOUGHNUT TRINKET POT ,STRAWBERRY CERAMIC TRINKET BOX,0.6188925081433225
CHILDS GARDEN SPADE PINK,CHILDS GARDEN BRUSH PINK,0.618556701030928
LARGE PURPLE BABUSHKA NOTEBOOK  ,LARGE RED BABUSHKA NOTEBOOK ,0.618556701030928
GREEN REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,0.6184738955823293
BLUE FELT EASTER EGG BASKET,CREAM FELT EASTER EGG BASKET,0.6183206106870229
MUSHROOM BLUE HOT WATER BOTTLE,FAWN BLUE HOT WATER BOTTLE,0.6166666666666666
PINK BLUE FELT CRAFT TRINKET BOX,PINK CREAM FELT CRAFT TRINKET BOX ,0.6165137614678898
UNION JACK GUNS & ROSES  DOORMAT,WHITE HANGING HEART T-LIGHT HOLDER,0.6162790697674418
PLACE SETTING WHITE STAR,PLACE SETTING WHITE HEART,0.6159999999999999
WELCOME  WOODEN BLOCK LETTERS,HOME BUILDING BLOCK WORD,0.6148648648648649
CHILDS GARDEN RAKE BLUE,CHILDS GARDEN FORK PINK,0.6144578313253012
DINOSAURS  WRITING SET ,BALLOONS  WRITING SET ,0.6130653266331658
RED STRIPE CERAMIC DRAWER KNOB,RED SPOT CERAMIC DRAWER KNOB,0.6124031007751938
PINK SPOTTY BOWL,BLUE SPOTTY BOWL,0.6123348017621145
PINK OWL SOFT TOY,BLUE OWL SOFT TOY,0.611842105263158
VINTAGE KID DOLLY CARD ,COWBOYS AND INDIANS BIRTHDAY CARD ,0.611764705882353
WOOD 2 DRAWER CABINET WHITE FINISH,WOOD S/3 CABINET ANT WHITE FINISH,0.6115992970123023
LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,0.6114285714285714
BLUE 3 PIECE POLKADOT CUTLERY SET,RED 3 PIECE RETROSPOT CUTLERY SET,0.6106870229007633
72 CAKE CASES VINTAGE CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.6105263157894738
SMALL RED BABUSHKA NOTEBOOK ,SMALL YELLOW BABUSHKA NOTEBOOK ,0.6101694915254238
BATHROOM METAL SIGN,TOILET METAL SIGN,0.609981515711645
GREEN  SPOTTY PLATE ,RED SPOTTY CUP,0.609090909090909
BLUE SPOTS  WRAP,PINK SPOTS  WRAP ,0.6089385474860336
CHRISTMAS RETROSPOT STAR WOOD,CHRISTMAS RETROSPOT HEART WOOD,0.6073298429319371
HOT WATER BOTTLE I AM SO POORLY,CHOCOLATE HOT WATER BOTTLE,0.6071428571428571
GLASS JAR PEACOCK BATH SALTS,GLASS JAR DAISY FRESH COTTON WOOL,0.6067415730337079
WHITE CHRISTMAS STAR DECORATION,WHITE CHRISTMAS HEART DECORATION,0.6055045871559632
FRENCH WC SIGN BLUE METAL,FRENCH BATHROOM SIGN BLUE METAL,0.6055045871559632
"DOG BOWL , CHASING BALL DESIGN",CAT BOWL ,0.6055045871559632
SMALL MARSHMALLOWS PINK BOWL,SMALL DOLLY MIX DESIGN ORANGE BOWL,0.6052631578947368
CHRISTMAS RETROSPOT TREE WOOD,CHRISTMAS RETROSPOT STAR WOOD,0.6047904191616766
APPLE BATH SPONGE,STRAWBERRY BATH SPONGE ,0.6046511627906977
